sourcenodeid,targetnodeid,relationshiptype,efficacyscore,strengthofevidence,recommendeddosagerange,contraindications,synergisticherbs
174,12,herbtreatscondition,0.85,High,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Haridra"
174,148,herbtreatscondition,0.78,Medium,500-1000mg,"Pregnancy, Autoimmune conditions","Guduchi, Neem"
175,12,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Weak digestion","Amruta, Kutki"
175,77,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Amruta, Daru haridra"
175,78,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Amruta, Katuka"
176,5,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Low blood pressure","Manjistha, Neem"
176,27,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Low blood pressure","Manjistha, Haridra"
176,29,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Low blood pressure","Manjistha, Sunth"
177,5,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Kushta, Turmeric"
177,16,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Kushta, Black seed"
177,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Kushta, Maricha"
178,77,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Weak digestion","Kutki, Daru haridra"
178,78,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Kutki, Katuka"
178,130,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Kutki, Bhunimba"
179,77,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Kutki"
179,78,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Katuka"
179,130,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Weak digestion","Daru haridra, Bhunimba"
180,13,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Constipation","Indrayava, Haritaki"
180,58,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Constipation","Indrayava, Amalaki"
180,86,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Constipation","Indrayava, Triphala"
181,13,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Constipation","Kutaja, Haritaki"
181,58,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Constipation","Kutaja, Amalaki"
181,86,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Constipation","Kutaja, Triphala"
182,15,herbtreatscondition,0.85,High,3-5g,"Pregnancy, Constipation","Bilva, Haritaki"
182,58,herbtreatscondition,0.78,Medium,3-5g,"Pregnancy, Constipation","Bilva, Amalaki"
182,86,herbtreatscondition,0.82,High,3-5g,"Pregnancy, Constipation","Bilva, Triphala"
183,15,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Diarrhea","Eranda, Haritaki"
183,86,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Diarrhea","Eranda, Amalaki"
183,113,herbtreatscondition,0.78,Medium,1-2g,"Pregnancy, Diarrhea","Eranda, Triphala"
184,2,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Guggulu"
184,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Shallaki"
184,19,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Nirgundi, Rasna"
185,2,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Guggulu"
185,7,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Shallaki"
185,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Rasna, Eranda"
186,2,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Ulcers","Bhallataka, Guggulu"
186,23,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Ulcers","Bhallataka, Chitrak"
186,25,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Ulcers","Bhallataka, Ginger"
187,2,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Shallaki, Guggulu"
187,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Shallaki, Shallaki"
187,19,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Shallaki, Rasna"
188,10,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Trikatu"
188,2,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Shallaki"
188,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Rasna"
188,20,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Pitta excess","Guggulu, Guggulu"
188,40,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Asthisrinkhala"
189,2,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Guggulu"
189,7,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Shallaki"
189,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Devadaru, Rasna"
190,72,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Cold constitution","Ushira, Chandana"
190,73,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Cold constitution","Ushira, Sandalwood"
190,74,herbtreatscondition,0.82,High,1-2g,"Pregnancy, Cold constitution","Ushira, Chandana"
191,72,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Cold constitution","Chandana, Ushira"
191,73,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Cold constitution","Chandana, Sandalwood"
191,74,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Cold constitution","Chandana, Ushira"
192,1,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Depression","Tagara, Jatamansi"
192,4,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Depression","Tagara, Shankhapushpi"
192,13,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Depression","Tagara, Ashwagandha"
193,1,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Depression","Jatamansi, Brahmi"
193,4,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Depression","Jatamansi, Shankhapushpi"
193,13,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Depression","Jatamansi, Ashwagandha"
194,6,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Saunf, Ginger"
194,16,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Saunf, Pippali"
194,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Saunf, Maricha"
195,12,herbtreatscondition,0.85,High,1-2g,"Pregnancy, Diabetes","Methi, Gurmar"
195,94,herbtreatscondition,0.8,High,1-2g,"Pregnancy, Diabetes","Methi, Karela"
195,166,herbtreatscondition,0.75,Medium,1-2g,"Pregnancy, Diabetes","Methi, Gokshura"
196,6,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Ginger"
196,16,herbtreatscondition,0.75,Medium,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Black seed"
196,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Kalonji, Maricha"
197,6,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Bleeding disorders","Hingu, Ginger"
197,16,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Bleeding disorders","Hingu, Pippali"
197,31,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Bleeding disorders","Hingu, Maricha"
198,2,herbtreatscondition,0.9,High,500-1000mg,"Bleeding disorders, Pitta excess","Lashuna, Black pepper"
198,5,herbtreatscondition,0.8,High,500-1000mg,"Bleeding disorders, Pitta excess","Lashuna, Turmeric"
198,27,herbtreatscondition,0.85,High,500-1000mg,"Bleeding disorders, Pitta excess","Lashuna, Haridra"
199,2,herbtreatscondition,0.9,High,500-1000mg,"Bleeding disorders, Pitta excess","Rasona, Black pepper"
199,5,herbtreatscondition,0.8,High,500-1000mg,"Bleeding disorders, Pitta excess","Rasona, Turmeric"
199,27,herbtreatscondition,0.85,High,500-1000mg,"Bleeding disorders, Pitta excess","Rasona, Haridra"
200,1,herbtreatscondition,0.9,High,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Brahmi"
200,4,herbtreatscondition,0.85,High,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Shatavari"
200,8,herbtreatscondition,0.8,High,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Tulsi"
200,13,herbtreatscondition,0.75,Medium,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Shankhapushpi"
200,49,herbtreatscondition,0.82,High,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Jatamansi"
200,148,herbtreatscondition,0.78,Medium,300-500mg,"Pregnancy, Autoimmune conditions","Ashwagandha, Guduchi203,6,herbtreatscondition,0.9,High,250-500mg,Pregnancy", Pitta excess,Ginger, Tulsi 
"203,16,herbtreatscondition,0.85,High,250-500mg,Pregnancy", Pitta excess,Ginger, Pippali 
"203,32,herbtreatscondition,0.8,High,250-500mg,Pregnancy", Pitta excess,Ginger, Tulsi 
"204,70,herbtreatscondition,0.85,High,500-1000mg,Pregnancy", Pitta excess,Ashwagandha, Shatavari 
"204,75,herbtreatscondition,0.9,High,500-1000mg,Pregnancy", Pitta excess,Ashwagandha, Safed Musli 
"204,43,herbtreatscondition,0.8,High,500-1000mg,Pregnancy", Pitta excess,Mucuna, Ashwagandha 
"205,8,herbtreatscondition,0.85,High,250-500mg,Bipolar disorder", Pregnancy, Bleeding disorders,Ashwagandha, Brahmi 
"205,13,herbtreatscondition,0.8,High,250-500mg,Bipolar disorder", Pregnancy, Bleeding disorders,Ashwagandha, Jatamansi 
"205,49,herbtreatscondition,0.9,High,250-500mg,Bipolar disorder", Pregnancy, Bleeding disorders,Ashwagandha, Tulsi 
1,5,herbtreatscondition,0.84,Low,250-500mg,Pitta excess,"Triphala, Haritaki"
1,6,herbtreatscondition,0.69,Low,1-3g,Pregnancy,"Amla, Haritaki"
1,9,herbtreatscondition,0.78,Low,50-100mg,Pitta excess,"Triphala, Haritaki"
1,10,herbtreatscondition,0.8,Low,1-3g,Pitta excess,"Amla, Haritaki"
1,11,herbtreatscondition,0.78,Medium,1-3g,Bleeding disorders,"Ashwagandha, Brahmi"
1,12,herbtreatscondition,0.88,Low,500-1000mg,Bleeding disorders,"Tulsi, Ginger"
1,15,herbtreatscondition,0.7,Medium,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,16,herbtreatscondition,0.68,Medium,1-3g,Bleeding disorders,"Ashwagandha, Brahmi"
1,17,herbtreatscondition,0.87,High,50-100mg,None,"Ashwagandha, Brahmi"
1,18,herbtreatscondition,0.82,High,1-3g,Bleeding disorders,"Amla, Haritaki"
1,20,herbtreatscondition,0.71,Low,50-100mg,Pitta excess,"Tulsi, Ginger"
1,21,herbtreatscondition,0.95,Low,50-100mg,None,"Tulsi, Ginger"
1,23,herbtreatscondition,0.79,Medium,100-250mg,Bleeding disorders,"Tulsi, Ginger"
1,24,herbtreatscondition,0.71,Medium,50-100mg,Pitta excess,"Amla, Haritaki"
1,25,herbtreatscondition,0.87,Low,500-1000mg,None,"Tulsi, Ginger"
1,26,herbtreatscondition,0.95,High,1-3g,Pitta excess,"Tulsi, Ginger"
1,27,herbtreatscondition,0.9,Low,100-250mg,Pregnancy,"Tulsi, Ginger"
1,28,herbtreatscondition,0.77,Low,100-250mg,Bleeding disorders,"Triphala, Haritaki"
1,30,herbtreatscondition,0.85,Medium,500-1000mg,Pitta excess,"Tulsi, Ginger"
1,31,herbtreatscondition,0.69,High,1-3g,Bleeding disorders,"Amla, Haritaki"
1,32,herbtreatscondition,0.78,High,500-1000mg,Bleeding disorders,"Triphala, Haritaki"
1,33,herbtreatscondition,0.95,Low,1-3g,None,"Ashwagandha, Brahmi"
1,35,herbtreatscondition,0.88,Low,100-250mg,Pitta excess,"Guggulu, Shallaki"
1,36,herbtreatscondition,0.83,Medium,500-1000mg,None,"Amla, Haritaki"
1,37,herbtreatscondition,0.73,High,50-100mg,Pregnancy,"Amla, Haritaki"
1,39,herbtreatscondition,0.88,High,250-500mg,Pregnancy,"Tulsi, Ginger"
1,40,herbtreatscondition,0.78,Medium,50-100mg,Bleeding disorders,"Amla, Haritaki"
1,41,herbtreatscondition,0.88,High,50-100mg,Bleeding disorders,"Amla, Haritaki"
1,42,herbtreatscondition,0.83,Low,250-500mg,Pitta excess,"Amla, Haritaki"
1,43,herbtreatscondition,0.94,High,50-100mg,Bleeding disorders,"Guggulu, Shallaki"
1,44,herbtreatscondition,0.66,Medium,250-500mg,Pitta excess,"Ashwagandha, Brahmi"
1,45,herbtreatscondition,0.72,High,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,46,herbtreatscondition,0.89,High,100-250mg,Pitta excess,"Guggulu, Shallaki"
1,47,herbtreatscondition,0.93,Low,250-500mg,None,"Triphala, Haritaki"
1,48,herbtreatscondition,0.93,High,100-250mg,Bleeding disorders,"Guggulu, Shallaki"
1,50,herbtreatscondition,0.95,High,250-500mg,None,"Amla, Haritaki"
1,52,herbtreatscondition,0.79,Low,100-250mg,Pregnancy,"Tulsi, Ginger"
1,53,herbtreatscondition,0.66,High,100-250mg,Pitta excess,"Ashwagandha, Brahmi"
1,54,herbtreatscondition,0.67,High,50-100mg,Pitta excess,"Ashwagandha, Brahmi"
1,55,herbtreatscondition,0.92,Medium,50-100mg,Pitta excess,"Tulsi, Ginger"
1,56,herbtreatscondition,0.85,Low,1-3g,Pitta excess,"Amla, Haritaki"
1,57,herbtreatscondition,0.82,Low,500-1000mg,None,"Triphala, Haritaki"
1,58,herbtreatscondition,0.68,High,500-1000mg,Bleeding disorders,"Guggulu, Shallaki"
1,59,herbtreatscondition,0.77,High,50-100mg,Pregnancy,"Ashwagandha, Brahmi"
1,60,herbtreatscondition,0.77,Medium,50-100mg,Pitta excess,"Triphala, Haritaki"
1,61,herbtreatscondition,0.71,Medium,100-250mg,None,"Triphala, Haritaki"
1,62,herbtreatscondition,0.73,Low,50-100mg,None,"Amla, Haritaki"
1,63,herbtreatscondition,0.68,High,1-3g,Pregnancy,"Ashwagandha, Brahmi"
1,64,herbtreatscondition,0.93,Low,100-250mg,None,"Guggulu, Shallaki"
1,65,herbtreatscondition,0.79,Medium,50-100mg,Pitta excess,"Guggulu, Shallaki"
1,66,herbtreatscondition,0.65,Medium,250-500mg,None,"Tulsi, Ginger"
1,67,herbtreatscondition,0.78,High,1-3g,None,"Triphala, Haritaki"
1,68,herbtreatscondition,0.71,Low,50-100mg,Pregnancy,"Tulsi, Ginger"
1,69,herbtreatscondition,0.67,High,500-1000mg,Pitta excess,"Ashwagandha, Brahmi"
1,70,herbtreatscondition,0.94,Low,100-250mg,Pregnancy,"Amla, Haritaki"
1,71,herbtreatscondition,0.67,Low,500-1000mg,Pregnancy,"Amla, Haritaki"
1,72,herbtreatscondition,0.72,High,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,73,herbtreatscondition,0.85,High,1-3g,Bleeding disorders,"Tulsi, Ginger"
1,74,herbtreatscondition,0.71,High,250-500mg,Pitta excess,"Tulsi, Ginger"
1,75,herbtreatscondition,0.77,High,250-500mg,None,"Tulsi, Ginger"
1,76,herbtreatscondition,0.93,Low,50-100mg,None,"Amla, Haritaki"
1,77,herbtreatscondition,0.95,Low,50-100mg,Pitta excess,"Amla, Haritaki"
1,78,herbtreatscondition,0.73,Medium,50-100mg,Pitta excess,"Tulsi, Ginger"
1,79,herbtreatscondition,0.74,Medium,1-3g,Bleeding disorders,"Amla, Haritaki"
1,80,herbtreatscondition,0.95,High,1-3g,Pregnancy,"Amla, Haritaki"
1,81,herbtreatscondition,0.74,High,50-100mg,Pitta excess,"Tulsi, Ginger"
1,82,herbtreatscondition,0.68,Low,1-3g,Pitta excess,"Tulsi, Ginger"
1,83,herbtreatscondition,0.73,Low,250-500mg,Pitta excess,"Tulsi, Ginger"
1,84,herbtreatscondition,0.8,Medium,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,85,herbtreatscondition,0.9,Low,50-100mg,Bleeding disorders,"Triphala, Haritaki"
1,86,herbtreatscondition,0.84,Medium,100-250mg,None,"Amla, Haritaki"
1,87,herbtreatscondition,0.86,High,50-100mg,Pregnancy,"Ashwagandha, Brahmi"
1,88,herbtreatscondition,0.93,High,100-250mg,Pregnancy,"Tulsi, Ginger"
1,89,herbtreatscondition,0.82,Low,500-1000mg,Pitta excess,"Ashwagandha, Brahmi"
1,90,herbtreatscondition,0.74,Low,250-500mg,Pitta excess,"Triphala, Haritaki"
1,91,herbtreatscondition,0.85,Medium,1-3g,None,"Amla, Haritaki"
1,92,herbtreatscondition,0.87,Low,100-250mg,Pitta excess,"Guggulu, Shallaki"
1,93,herbtreatscondition,0.66,High,250-500mg,None,"Triphala, Haritaki"
1,94,herbtreatscondition,0.73,High,50-100mg,None,"Ashwagandha, Brahmi"
1,96,herbtreatscondition,0.91,Low,100-250mg,None,"Tulsi, Ginger"
1,98,herbtreatscondition,0.74,Low,100-250mg,Pregnancy,"Triphala, Haritaki"
1,99,herbtreatscondition,0.77,Medium,50-100mg,Bleeding disorders,"Tulsi, Ginger"
1,101,herbtreatscondition,0.84,Medium,1-3g,Bleeding disorders,"Ashwagandha, Brahmi"
1,102,herbtreatscondition,0.68,Medium,100-250mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,109,herbtreatscondition,0.68,Medium,250-500mg,Bleeding disorders,"Guggulu, Shallaki"
1,114,herbtreatscondition,0.83,High,50-100mg,None,"Amla, Haritaki"
1,115,herbtreatscondition,0.71,Low,500-1000mg,Pregnancy,"Amla, Haritaki"
1,116,herbtreatscondition,0.93,High,100-250mg,Bleeding disorders,"Guggulu, Shallaki"
1,117,herbtreatscondition,0.67,High,250-500mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,118,herbtreatscondition,0.87,Medium,1-3g,Bleeding disorders,"Guggulu, Shallaki"
1,119,herbtreatscondition,0.75,High,250-500mg,Pitta excess,"Triphala, Haritaki"
1,120,herbtreatscondition,0.78,Medium,100-250mg,Bleeding disorders,"Guggulu, Shallaki"
1,121,herbtreatscondition,0.81,Low,250-500mg,Bleeding disorders,"Triphala, Haritaki"
1,122,herbtreatscondition,0.78,High,1-3g,Bleeding disorders,"Guggulu, Shallaki"
1,123,herbtreatscondition,0.78,High,100-250mg,None,"Triphala, Haritaki"
1,124,herbtreatscondition,0.85,Medium,1-3g,Bleeding disorders,"Ashwagandha, Brahmi"
1,125,herbtreatscondition,0.9,Low,250-500mg,Pitta excess,"Triphala, Haritaki"
1,126,herbtreatscondition,0.69,Low,100-250mg,None,"Amla, Haritaki"
1,127,herbtreatscondition,0.9,Low,500-1000mg,None,"Amla, Haritaki"
1,128,herbtreatscondition,0.71,High,500-1000mg,None,"Guggulu, Shallaki"
1,129,herbtreatscondition,0.72,High,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,130,herbtreatscondition,0.72,High,1-3g,None,"Ashwagandha, Brahmi"
1,131,herbtreatscondition,0.82,Low,500-1000mg,Pitta excess,"Guggulu, Shallaki"
1,132,herbtreatscondition,0.85,High,1-3g,Bleeding disorders,"Guggulu, Shallaki"
1,138,herbtreatscondition,0.83,High,1-3g,None,"Amla, Haritaki"
1,139,herbtreatscondition,0.78,Low,500-1000mg,None,"Tulsi, Ginger"
1,140,herbtreatscondition,0.88,High,250-500mg,None,"Triphala, Haritaki"
1,141,herbtreatscondition,0.73,Low,250-500mg,Pitta excess,"Tulsi, Ginger"
1,142,herbtreatscondition,0.75,High,50-100mg,Pitta excess,"Triphala, Haritaki"
1,143,herbtreatscondition,0.72,High,100-250mg,Pitta excess,"Ashwagandha, Brahmi"
1,144,herbtreatscondition,0.77,Medium,1-3g,None,"Guggulu, Shallaki"
1,145,herbtreatscondition,0.67,Medium,500-1000mg,Pregnancy,"Amla, Haritaki"
1,146,herbtreatscondition,0.76,Low,250-500mg,Bleeding disorders,"Guggulu, Shallaki"
1,147,herbtreatscondition,0.91,Medium,1-3g,Pitta excess,"Guggulu, Shallaki"
1,149,herbtreatscondition,0.72,Medium,500-1000mg,Pregnancy,"Guggulu, Shallaki"
1,150,herbtreatscondition,0.75,High,500-1000mg,Pitta excess,"Guggulu, Shallaki"
1,151,herbtreatscondition,0.93,High,1-3g,Pregnancy,"Guggulu, Shallaki"
1,152,herbtreatscondition,0.83,High,50-100mg,Pregnancy,"Guggulu, Shallaki"
1,153,herbtreatscondition,0.69,Medium,100-250mg,Pregnancy,"Tulsi, Ginger"
1,154,herbtreatscondition,0.76,Low,500-1000mg,Bleeding disorders,"Tulsi, Ginger"
1,155,herbtreatscondition,0.88,Medium,250-500mg,None,"Tulsi, Ginger"
1,156,herbtreatscondition,0.9,Medium,50-100mg,Pregnancy,"Tulsi, Ginger"
1,157,herbtreatscondition,0.72,Low,50-100mg,Pregnancy,"Triphala, Haritaki"
1,159,herbtreatscondition,0.71,Low,1-3g,Pitta excess,"Triphala, Haritaki"
1,160,herbtreatscondition,0.69,High,50-100mg,Pitta excess,"Guggulu, Shallaki"
1,161,herbtreatscondition,0.86,Medium,100-250mg,Pregnancy,"Triphala, Haritaki"
1,162,herbtreatscondition,0.94,Low,1-3g,Pregnancy,"Tulsi, Ginger"
1,163,herbtreatscondition,0.82,Medium,500-1000mg,Pitta excess,"Ashwagandha, Brahmi"
1,164,herbtreatscondition,0.83,High,100-250mg,Pregnancy,"Tulsi, Ginger"
1,165,herbtreatscondition,0.91,High,50-100mg,Pregnancy,"Tulsi, Ginger"
1,166,herbtreatscondition,0.81,High,250-500mg,Pregnancy,"Amla, Haritaki"
1,167,herbtreatscondition,0.84,Low,500-1000mg,None,"Ashwagandha, Brahmi"
1,168,herbtreatscondition,0.78,Medium,500-1000mg,Pitta excess,"Guggulu, Shallaki"
1,169,herbtreatscondition,0.7,High,250-500mg,None,"Guggulu, Shallaki"
1,170,herbtreatscondition,0.78,High,1-3g,Bleeding disorders,"Tulsi, Ginger"
1,171,herbtreatscondition,0.91,Low,250-500mg,None,"Triphala, Haritaki"
1,172,herbtreatscondition,0.88,High,1-3g,None,"Tulsi, Ginger"
1,173,herbtreatscondition,0.66,Medium,100-250mg,None,"Triphala, Haritaki"
1,174,herbtreatscondition,0.76,Medium,250-500mg,Bleeding disorders,"Amla, Haritaki"
1,175,herbtreatscondition,0.86,Medium,1-3g,Pregnancy,"Amla, Haritaki"
1,176,herbtreatscondition,0.93,Low,100-250mg,None,"Guggulu, Shallaki"
1,177,herbtreatscondition,0.82,Low,500-1000mg,None,"Guggulu, Shallaki"
1,178,herbtreatscondition,0.89,Low,250-500mg,Pitta excess,"Guggulu, Shallaki"
1,179,herbtreatscondition,0.86,Medium,1-3g,Bleeding disorders,"Guggulu, Shallaki"
1,180,herbtreatscondition,0.82,Medium,500-1000mg,Bleeding disorders,"Tulsi, Ginger"
1,181,herbtreatscondition,0.86,Medium,250-500mg,Bleeding disorders,"Triphala, Haritaki"
1,183,herbtreatscondition,0.69,Low,250-500mg,Pregnancy,"Amla, Haritaki"
1,184,herbtreatscondition,0.94,High,100-250mg,Pitta excess,"Triphala, Haritaki"
1,185,herbtreatscondition,0.87,Medium,1-3g,Bleeding disorders,"Ashwagandha, Brahmi"
1,186,herbtreatscondition,0.9,Medium,100-250mg,Bleeding disorders,"Triphala, Haritaki"
1,187,herbtreatscondition,0.74,High,1-3g,Pitta excess,"Tulsi, Ginger"
1,188,herbtreatscondition,0.66,Low,1-3g,Bleeding disorders,"Triphala, Haritaki"
1,189,herbtreatscondition,0.84,Medium,50-100mg,Pregnancy,"Amla, Haritaki"
1,190,herbtreatscondition,0.74,Medium,500-1000mg,Bleeding disorders,"Triphala, Haritaki"
1,191,herbtreatscondition,0.94,Medium,500-1000mg,Pregnancy,"Ashwagandha, Brahmi"
1,192,herbtreatscondition,0.77,Low,1-3g,Pregnancy,"Triphala, Haritaki"
1,193,herbtreatscondition,0.69,High,250-500mg,Pregnancy,"Triphala, Haritaki"
1,194,herbtreatscondition,0.69,Medium,1-3g,Pitta excess,"Amla, Haritaki"
1,195,herbtreatscondition,0.76,Medium,250-500mg,None,"Tulsi, Ginger"
1,196,herbtreatscondition,0.82,Low,1-3g,Pregnancy,"Triphala, Haritaki"
1,197,herbtreatscondition,0.84,Medium,50-100mg,Pitta excess,"Triphala, Haritaki"
1,198,herbtreatscondition,0.7,Low,100-250mg,Pregnancy,"Guggulu, Shallaki"
1,199,herbtreatscondition,0.79,High,500-1000mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,200,herbtreatscondition,0.72,High,250-500mg,None,"Ashwagandha, Brahmi"
1,201,herbtreatscondition,0.86,Medium,1-3g,Pitta excess,"Guggulu, Shallaki"
1,202,herbtreatscondition,0.68,Low,100-250mg,Bleeding disorders,"Triphala, Haritaki"
1,203,herbtreatscondition,0.67,Low,250-500mg,Bleeding disorders,"Guggulu, Shallaki"
1,204,herbtreatscondition,0.69,High,250-500mg,None,"Tulsi, Ginger"
1,205,herbtreatscondition,0.8,Medium,500-1000mg,Pregnancy,"Amla, Haritaki"
1,206,herbtreatscondition,0.66,Medium,250-500mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,207,herbtreatscondition,0.68,High,1-3g,Pregnancy,"Tulsi, Ginger"
1,208,herbtreatscondition,0.82,Low,500-1000mg,None,"Tulsi, Ginger"
1,209,herbtreatscondition,0.7,High,500-1000mg,None,"Ashwagandha, Brahmi"
1,210,herbtreatscondition,0.79,Medium,250-500mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,211,herbtreatscondition,0.91,Medium,500-1000mg,None,"Tulsi, Ginger"
1,212,herbtreatscondition,0.85,Medium,1-3g,Pregnancy,"Guggulu, Shallaki"
1,213,herbtreatscondition,0.68,Medium,250-500mg,Pregnancy,"Guggulu, Shallaki"
1,214,herbtreatscondition,0.91,Low,1-3g,None,"Guggulu, Shallaki"
1,215,herbtreatscondition,0.67,High,250-500mg,None,"Guggulu, Shallaki"
1,216,herbtreatscondition,0.88,Low,250-500mg,Pitta excess,"Tulsi, Ginger"
1,217,herbtreatscondition,0.78,High,500-1000mg,Pregnancy,"Ashwagandha, Brahmi"
1,218,herbtreatscondition,0.94,High,100-250mg,Pitta excess,"Tulsi, Ginger"
1,219,herbtreatscondition,0.82,High,500-1000mg,Pregnancy,"Triphala, Haritaki"
1,220,herbtreatscondition,0.95,Low,500-1000mg,Pregnancy,"Triphala, Haritaki"
1,221,herbtreatscondition,0.8,High,250-500mg,Bleeding disorders,"Guggulu, Shallaki"
1,222,herbtreatscondition,0.9,Medium,100-250mg,None,"Amla, Haritaki"
1,223,herbtreatscondition,0.69,Low,1-3g,Pitta excess,"Ashwagandha, Brahmi"
1,224,herbtreatscondition,0.73,Medium,250-500mg,Bleeding disorders,"Ashwagandha, Brahmi"
1,227,herbtreatscondition,0.73,Medium,1-3g,None,"Triphala, Haritaki"
1,230,herbtreatscondition,0.78,Medium,250-500mg,Bleeding disorders,"Amla, Haritaki"
1,231,herbtreatscondition,0.88,Medium,500-1000mg,Bleeding disorders,"Triphala, Haritaki"
1,232,herbtreatscondition,0.94,Low,1-3g,None,"Triphala, Haritaki"
1,233,herbtreatscondition,0.91,Medium,50-100mg,Bleeding disorders,"Guggulu, Shallaki"
